"rank","points","status","profile url","name","joined","gold medals","silver medals","bronze medals"
"199","341","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/steamedsheep","sheep","6 years ago","9","19","103"
"200","340","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/venkatkumar001","Venkatkumar R","2 years ago","3","8","303"
"201","340","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kartushovdanil","Torch me","2 years ago","2","3","351"
"202","338","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sumandey","Suman Dey","2 years ago","9","9","436"
"203","337","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/towhidultonmoy","Towhidul.Tonmoy","2 years ago","9","10","196"
"204","335","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/stassl","Stas Sl","7 years ago","18","21","94"
"205","335","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/snaker","Chenglu","6 years ago","11","16","66"
"206","334","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/kazanova","Μαριος Μιχαηλιδης KazAnova","9 years ago","73","83","438"
"207","333","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/saurabhshahane","Saurabh Shahane","4 years ago","21","11","338"
"208","333","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/amedprof","Amed","3 years ago","15","8","86"
"209","333","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/dragonzhang","dragon zhang","2 years ago","3","13","222"
"210","332","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/carriech","Carrie CH","3 years ago","0","0","481"
"211","332","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/xia464","Kamogawa_Horumo","3 years ago","23","26","46"
"212","331","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/piantic","Heroseo","3 years ago","18","10","301"
"213","329","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/jiweiliu","Jiwei Liu","9 years ago","71","90","596"
"214","327","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/khahuras","Kha Vo","4 years ago","34","51","407"
"215","324","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ddanevskyi","Dmytro Danevskyi","7 years ago","27","25","102"
"216","324","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sirishks","Sirish Somanchi","6 years ago","25","18","183"
"217","324","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/fritzcremer","Fritz Cremer","a year ago","11","18","90"
"218","323","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mostafaalaa123","Mostafa Alaa","a year ago","9","16","248"
"219","321","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/stefankahl","Stefan Kahl","6 years ago","19","17","80"
"220","320","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/andreshg","AndresHG","3 years ago","0","2","812"
"221","319","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/chris62","chris","10 years ago","12","16","73"
"222","319","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jbomitchell","John Mitchell","3 years ago","9","18","222"
"223","317","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/tanlikesmath","ilovescience","6 years ago","26","31","240"
"224","315","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/columbia2131","colum2131","3 years ago","14","6","37"
"225","313","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/reighns","Hongnan G","3 years ago","19","18","242"
"226","311","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/aikhmelnytskyy","Andrij","4 years ago","11","15","138"
"227","307","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/akmalmir","Akmal Azzam o'g'li","4 years ago","5","8","205"
"228","305","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/frtgnn","Firat Gonen","4 years ago","57","21","681"
"229","304","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/pythonafroz","Afroz","a year ago","0","0","312"
"230","302","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/khsamaha","Kheirallah Samaha","6 years ago","0","3","618"
"231","301","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tkm2261","tkm2261","7 years ago","19","6","47"
"232","296","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mfaisalqureshi","Faisal Qureshi","2 years ago","0","0","499"
"233","296","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/davidbroberts","David Roberts","2 years ago","9","22","166"
"234","296","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/underwearfitting","sin","2 years ago","15","25","215"
"235","295","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/bibek777","Bibek","5 years ago","44","43","215"
"236","295","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ayuraj","Ayush Thakur","4 years ago","16","7","131"
"237","294","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/its7171","tito","6 years ago","26","26","153"
"238","294","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/takamichitoda","Takamichi Toda","5 years ago","19","6","77"
"239","294","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/nroman","Roman","4 years ago","28","30","188"
"240","291","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/yiheng","Yiheng Wang","6 years ago","28","30","151"
"241","291","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ks2019","KS","4 years ago","15","28","134"
"242","290","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/deepkim","kaggler","5 years ago","8","9","133"
"243","289","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vadimtimakin","Vadim Timakin","2 years ago","11","9","95"
"244","289","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rajattomar132","rajattomar132","a year ago","5","7","226"
"245","286","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/marketneutral","marketneutral","4 years ago","16","24","244"
"246","286","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/analokamus","RabotniKuma","4 years ago","16","9","47"
"247","284","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/zakopur0","zakopuro","4 years ago","5","4","47"
"248","284","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ankitp013","Ankit","4 years ago","0","1","613"
"249","282","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ammarali32","ammarali32","2 years ago","10","4","98"
"250","281","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/satyampd","Satyam Prasad Tiwari","4 years ago","0","2","372"
"251","277","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bakeryproducts","Gleb","5 years ago","7","7","55"
"252","277","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jonathanbesomi","Jonathan Besomi","4 years ago","7","2","53"
"253","275","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/yvonnef","YvonneF","4 years ago","5","5","296"
"254","273","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/manabendrarout","Manav","4 years ago","7","7","342"
"255","273","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ishandutta","Ishan Dutta","2 years ago","14","16","162"
"256","271","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/olegsidorshin","Oleg Sidorshin","2 years ago","5","3","43"
"257","270","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/hasibalmuzdadid","HASIB AL MUZDADID","9 months ago","2","2","189"
"258","268","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bhuvanchennoju","Bhuvan Chennoju","3 years ago","0","2","587"
"259","264","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/jeffsonas","Jeff Sonas","12 years ago","12","38","359"
"260","264","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/ogrellier","olivier","7 years ago","60","70","728"
"261","263","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/psilogram","Silogram","10 years ago","33","32","91"
"262","263","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tvdwiele","Tom Van de Wiele","6 years ago","15","29","169"
"263","263","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/harshitsheoran","Harshit Sheoran","4 years ago","9","6","170"
"264","263","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mithilsalunkhe","Mithil Salunkhe","2 years ago","7","13","137"
"265","262","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/devsubhash","Devashree Madhugiri","3 years ago","0","0","329"
"266","262","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/cyruskouhyar","Kourosh Kouhyar","9 months ago","1","0","353"
"267","261","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/harangdev","YoonSoo","4 years ago","10","9","116"
"268","260","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/stonet2000","Stone Tao","3 years ago","10","16","104"
"269","260","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/drtausamaru","cool_rabbit","2 years ago","12","15","151"
"270","258","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/superant","Ant 🐜","10 years ago","9","25","262"
"271","258","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/firuzjuraev","Firuz Juraev","4 years ago","1","2","288"
"272","258","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/avikumart","AvikumarT","a year ago","1","0","241"
"273","257","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/khyeh0719","khyeh","5 years ago","16","8","114"
"274","256","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/shahules","Shahules","5 years ago","23","29","410"
"275","256","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/meetnagadia","Meet Nagadia","2 years ago","9","11","155"
"276","255","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/optimo","Optimo","8 years ago","10","19","237"
"277","255","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nxrprime","Trigram","3 years ago","18","27","419"
"278","254","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/scirpus","Scirpus","8 years ago","76","112","782"
"279","254","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sytuannguyen","Sy-Tuan Nguyen","3 years ago","7","16","110"
"280","254","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ashwinshetgaonkar","Ashwin Shetgaonkar","a year ago","1","5","241"
"281","252","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nikhilmishradev","NikhilMishra","5 years ago","11","13","136"
"282","252","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/imeintanis","Ioannis M","4 years ago","6","14","258"
"283","251","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kurupical","kurupical","5 years ago","11","9","52"
"284","251","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/hannes82","Hannes Öhler","3 years ago","4","8","135"
"285","251","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/forcewithme","ForcewithMe","a year ago","11","13","60"
"286","250","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/hydantess","hyd","9 months ago","5","4","41"
"287","248","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/gaganmaahi224","M. Gagan Chandra","a year ago","0","0","402"
"288","247","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ludovicocuoghi","Ludovico Cuoghi","2 years ago","0","1","384"
"289","246","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/shinomoriaoshi","Minh Tri Phan","4 years ago","6","12","139"
"290","245","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/julian3833","dataista0 (Julián Peller)","5 years ago","9","7","129"
"291","245","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/zacchaeus","Zacchaeus","3 years ago","7","7","111"
"292","245","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/adamwurdits","Adam Wurdits","2 years ago","7","5","104"
"293","244","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rishirajacharya","Rishiraj Acharya","8 years ago","11","6","68"
"294","244","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kwentar","Aleksey Alekseev","7 years ago","5","4","55"
"295","243","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/alincijov","Alin Cijov","2 years ago","1","10","535"
"296","241","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/fatihozturk","Fatih Ozturk","6 years ago","30","37","274"
